Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Number of Evacuation Center
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Dionisio,PH063038000,4
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Enrique,PH063039000,33
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Joaquin,PH063040000,3
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Miguel,PH063041000,1
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Rafael,PH063042000,1
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,3
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Sara,PH063044000,6
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Tigbauan,PH063045000,4
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Tubungan,PH063046000,9
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Zarraga,PH063047000,7
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,Buenavista,PH067901000,2
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,Jordan (Capital),PH067902000,1
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,Nueva Valencia,PH067903000,18
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,San Lorenzo,PH067904000,7
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,Sibunag,PH067905000,19
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Alburquerque,PH071201000,31
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Alicia,PH071202000,19
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Anda,PH071203000,7
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Antequera,PH071204000,2
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Baclayon,PH071205000,10
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Balilihan,PH071206000,23
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Batuan,PH071207000,51
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Bilar,PH071208000,1
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Buenavista,PH071209000,2
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Calape,PH071210000,4
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Candijay,PH071211000,2
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Carmen,PH071212000,4
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Catigbian,PH071213000,2
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Clarin,PH071214000,10
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Corella,PH071215000,9
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Cortes,PH071216000,14
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Dagohoy,PH071217000,1
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Danao,PH071218000,28
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Dauis,PH071219000,59
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Dimiao,PH071220000,27
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Duero,PH071221000,68
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Garcia Hernandez,PH071222000,66
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Guindulman,PH071223000,23
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Inabanga,PH071224000,3
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Jagna,PH071225000,15
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Getafe,PH071226000,1
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Lila,PH071227000,2
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Loay,PH071228000,52
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Loboc,PH071229000,8
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Loon,PH071230000,1
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Mabini,PH071231000,1
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Maribojoc,PH071232000,11
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Panglao,PH071233000,30
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Pilar,PH071234000,9
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Pres. Carlos P. Garcia (Pitogo),PH071235000,33
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Sagbayan (Borja),PH071236000,1
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,San Isidro,PH071237000,4
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,San Miguel,PH071238000,2
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Sevilla,PH071239000,10
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Sierra Bullones,PH071240000,2
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Sikatuna,PH071241000,29
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,City of Tagbilaran (Capital),PH071242000,22
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Talibon,PH071243000,9
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Trinidad,PH071244000,20
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Tubigon,PH071245000,5
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Ubay,PH071246000,3
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Valencia,PH071247000,4
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Bien Unido,PH071248000,1
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Alcantara,PH072201000,0
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Alcoy,PH072202000,22
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Alegria,PH072203000,14
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Aloguinsan,PH072204000,0
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Argao,PH072205000,0
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Asturias,PH072206000,16
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Badian,PH072207000,3
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Balamban,PH072208000,2
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Bantayan,PH072209000,0
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Barili,PH072210000,1
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Bogo,PH072211000,21
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Boljoon,PH072212000,4
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Borbon,PH072213000,30
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Carcar,PH072214000,1
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Carmen,PH072215000,0
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Catmon,PH072216000,7
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Cebu (Capital),PH072217000,28
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Compostela,PH072218000,4
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Consolacion,PH072219000,15
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Cordova,PH072220000,5
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Daanbantayan,PH072221000,30
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Dalaguete,PH072222000,17
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Danao City,PH072223000,55
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Dumanjug,PH072224000,12
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Ginatilan,PH072225000,26
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Lapu-Lapu (Opon),PH072226000,0
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Liloan,PH072227000,1
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Madridejos,PH072228000,0
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Malabuyoc,PH072229000,19
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Mandaue,PH072230000,29
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Medellin,PH072231000,6
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Minglanilla,PH072232000,2
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Moalboal,PH072233000,19
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Naga,PH072234000,1
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Oslob,PH072235000,17
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Pilar,PH072236000,1
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Pinamungahan,PH072237000,0
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Poro,PH072238000,12
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Ronda,PH072239000,20
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Samboan,PH072240000,17
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,San Fernando,PH072241000,1
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,San Francisco,PH072242000,28
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,San Remigio,PH072243000,26
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Santa Fe,PH072244000,12
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Santander,PH072245000,10
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Sibonga,PH072246000,4
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Sogod,PH072247000,2
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Tabogon,PH072248000,40
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Tabuelan,PH072249000,17
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Talisay,PH072250000,33
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,City of Toledo,PH072251000,9
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Tuburan,PH072252000,54
Region VII (Central Visayas),PH070000000,Cebu,PH072200000,Tudela,PH072253000,1
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Enrique Villanueva,PH076101000,28
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Larena,PH076102000,17
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Lazi,PH076103000,12
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Maria,PH076104000,1
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,San Juan,PH076105000,15
Region VII (Central Visayas),PH070000000,Siquijor,PH076100000,Siquijor (Capital),PH076106000,21
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Arteche,PH082601000,3
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Balangiga,PH082602000,14
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Balangkayan,PH082603000,1
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,City of Borongan (Capital),PH082604000,21
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Can-Avid,PH082605000,6
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Dolores,PH082606000,3
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,General Macarthur,PH082607000,2
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Giporlos,PH082608000,3
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Guiuan,PH082609000,3
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Hernani,PH082610000,1
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Jipapad,PH082611000,3
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Lawaan,PH082612000,10
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Llorente,PH082613000,4
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Maslog,PH082614000,7
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Maydolong,PH082615000,1
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Mercedes,PH082616000,9
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Oras,PH082617000,7
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Quinapondan,PH082618000,2
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Salcedo,PH082619000,1
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,San Julian,PH082620000,8
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,San Policarpo,PH082621000,1
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Sulat,PH082622000,7
Region VIII (Eastern Visayas),PH080000000,Eastern Samar,PH082600000,Taft,PH082623000,8
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Abuyog,PH083701000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Alangalang,PH083702000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Albuera,PH083703000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Babatngon,PH083705000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Barugo,PH083706000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Bato,PH083707000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,City of Baybay,PH083708000,4
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Burauen,PH083710000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Calubian,PH083713000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Capoocan,PH083714000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Carigara,PH083715000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Dagami,PH083717000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Dulag,PH083718000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Hilongos,PH083719000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Hindang,PH083720000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Inopacan,PH083721000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Isabel,PH083722000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Jaro,PH083723000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Javier (Bugho),PH083724000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Julita,PH083725000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Kananga,PH083726000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,La Paz,PH083728000,1
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Leyte,PH083729000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Macarthur,PH083730000,3
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Mahaplag,PH083731000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Matag-Ob,PH083733000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Matalom,PH083734000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Mayorga,PH083735000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Merida,PH083736000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Ormoc City,PH083738000,3
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Palo,PH083739000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Palompon,PH083740000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Pastrana,PH083741000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,San Isidro,PH083742000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,San Miguel,PH083743000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Santa Fe,PH083744000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tabango,PH083745000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tabontabon,PH083746000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,City of Tacloban (Capital),PH083747000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tanauan,PH083748000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tolosa,PH083749000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Tunga,PH083750000,0
Region VIII (Eastern Visayas),PH080000000,Leyte,PH083700000,Villaba,PH083751000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Allen,PH084801000,4
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Biri,PH084802000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Bobon,PH084803000,4
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Capul,PH084804000,1
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Catarman (Capital),PH084805000,26
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Catubig,PH084806000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Gamay,PH084807000,3
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Laoang,PH084808000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Lapinig,PH084809000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Las Navas,PH084810000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Lavezares,PH084811000,6
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Mapanas,PH084812000,1
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Mondragon,PH084813000,18
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Palapag,PH084814000,6
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Pambujan,PH084815000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Rosario,PH084816000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Antonio,PH084817000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Isidro,PH084818000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Jose,PH084819000,5
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Roque,PH084820000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,San Vicente,PH084821000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Silvino Lobos,PH084822000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Victoria,PH084823000,0
Region VIII (Eastern Visayas),PH080000000,Northern Samar,PH084800000,Lope De Vega,PH084824000,35
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Almagro,PH086001000,4
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Basey,PH086002000,3
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,City of Calbayog,PH086003000,3
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Calbiga,PH086004000,8
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,City of Catbalogan (Capital),PH086005000,6
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Daram,PH086006000,12
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Gandara,PH086007000,8
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Hinabangan,PH086008000,3
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Jiabong,PH086009000,1
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Marabut,PH086010000,1
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Matuguinao,PH086011000,4
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Motiong,PH086012000,23
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Pinabacdao,PH086013000,0
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Jose De Buan,PH086014000,0
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Sebastian,PH086015000,2
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santa Margarita,PH086016000,1
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santa Rita,PH086017000,0
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Santo Niño,PH086018000,0
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Talalora,PH086019000,0
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Tarangnan,PH086020000,7
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Villareal,PH086021000,0
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Paranas (Wright),PH086022000,3
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Zumarraga,PH086023000,6
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Tagapul-An,PH086024000,2
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,San Jorge,PH086025000,0
Region VIII (Eastern Visayas),PH080000000,Samar (Western Samar),PH086000000,Pagsanghan,PH086026000,3
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Anahawan,PH086401000,18
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Bontoc,PH086402000,18
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Hinunangan,PH086403000,20
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Hinundayan,PH086404000,6
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Libagon,PH086405000,2
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Liloan,PH086406000,5
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,City of Maasin (Capital),PH086407000,197
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Macrohon,PH086408000,82
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Malitbog,PH086409000,20
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Padre Burgos,PH086410000,13
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Pintuyan,PH086411000,8
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Saint Bernard,PH086412000,24
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,San Francisco,PH086413000,32
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,San Juan (Cabalian),PH086414000,39
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,San Ricardo,PH086415000,11
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Silago,PH086416000,1
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Sogod,PH086417000,8
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Tomas Oppus,PH086418000,4
Region VIII (Eastern Visayas),PH080000000,Southern Leyte,PH086400000,Limasawa,PH086419000,17
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Almeria,PH087801000,13
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Biliran,PH087802000,10
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Cabucgayan,PH087803000,17
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Caibiran,PH087804000,1
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Culaba,PH087805000,5
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Kawayan,PH087806000,74
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Maripipi,PH087807000,21
Region VIII (Eastern Visayas),PH080000000,Biliran,PH087800000,Naval (Capital),PH087808000,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,City of Dapitan,PH097201000,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,City of Dipolog (Capital),PH097202000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Katipunan,PH097203000,11
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,La Libertad,PH097204000,16
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Labason,PH097205000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Liloy,PH097206000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Manukan,PH097207000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Mutia,PH097208000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Piñan (New Piñan),PH097209000,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Polanco,PH097210000,17
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Pres. Manuel A. Roxas,PH097211000,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Rizal,PH097212000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Salug,PH097213000,8
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sergio Osmeña Sr.,PH097214000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Siayan,PH097215000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sibuco,PH097216000,18
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sibutad,PH097217000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sindangan,PH097218000,35
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Siocon,PH097219000,6
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Sirawai,PH097220000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Tampilisan,PH097221000,21
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Jose Dalman (Ponot),PH097222000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Gutalac,PH097223000,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Baliguian,PH097224000,3
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Godod,PH097225000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Bacungan (Leon T. Postigo),PH097226000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Norte,PH097200000,Kalawit,PH097227000,2
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Aurora,PH097302000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Bayog,PH097303000,4
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dimataling,PH097305000,1
Region IX (Zamboanga Peninsula),PH090000000,Zamboanga Del Sur,PH097300000,Dinas,PH097306000,2
