Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Number of Households,Faucet/Community System,Tubed/Piped,Dug well,Bottled Water,Natural Sources,Peddler/Others/Not Reported
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Urbiztondo,PH015545000,10618,410,5607,0,4391,3,207
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Villasis,PH015547000,14631,4201,8424,0,1882,14,110
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Basco (Capital),PH020901000,2327,2147,14,0,113,13,40
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Itbayat,PH020902000,831,665,0,4,45,117,0
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Ivana,PH020903000,371,347,2,0,22,0,0
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Mahatao,PH020904000,443,443,0,0,0,0,0
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Sabtang,PH020905000,431,349,4,0,3,70,5
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Uyugan,PH020906000,358,358,0,0,0,0,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Abulug,PH021501000,7405,475,3373,1325,2217,15,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Alcala,PH021502000,9248,765,6581,1008,877,17,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Allacapan,PH021503000,7767,89,4304,1566,1764,44,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Amulung,PH021504000,10697,814,9343,138,393,9,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Aparri,PH021505000,13978,1156,4228,1533,6567,494,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Baggao,PH021506000,19630,410,17420,100,987,713,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Ballesteros,PH021507000,8350,235,5255,1138,1687,35,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Buguey,PH021508000,6754,45,3727,554,2021,313,94
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Calayan,PH021509000,3904,1950,1123,212,43,576,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Camalaniugan,PH021510000,5482,74,2203,356,2800,49,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Claveria,PH021511000,7258,632,3367,1235,1688,319,17
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Enrile,PH021512000,7543,3879,2388,567,370,339,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Gattaran,PH021513000,12874,570,9636,512,1686,470,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Gonzaga,PH021514000,8603,1978,2382,2470,1515,258,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Iguig,PH021515000,6179,730,3025,350,2039,5,30
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Lal-Lo,PH021516000,10271,425,5395,891,3365,195,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Lasam,PH021517000,9026,847,4921,286,2849,118,5
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Pamplona,PH021518000,5248,47,2038,1159,1962,42,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Peñablanca,PH021519000,10739,3612,5847,259,489,515,17
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Piat,PH021520000,5525,3404,1705,59,349,8,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Rizal,PH021521000,4043,477,3103,233,64,166,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Sanchez-Mira,PH021522000,5625,343,3868,145,1142,127,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Ana,PH021523000,7821,493,5023,1329,803,148,25
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Praxedes,PH021524000,980,446,103,12,79,340,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Teresita,PH021525000,4283,128,2452,315,1118,269,1
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santo Niño (Faire),PH021526000,6641,304,2435,3236,279,382,5
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Solana,PH021527000,19012,4857,11036,1011,1900,204,4
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Tuao,PH021528000,13557,2029,11143,124,235,26,0
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Tuguegarao City (Capital),PH021529000,33524,14444,1555,662,16820,43,0
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Alicia,PH023101000,17864,1019,9440,19,7304,35,47
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Angadanan,PH023102000,9906,1036,4923,2329,1480,136,2
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Aurora,PH023103000,8476,1360,4044,2,2958,16,96
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Benito Soliven,PH023104000,6941,222,4982,362,856,508,11
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Burgos,PH023105000,5744,101,5200,46,77,192,128
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cabagan,PH023106000,10162,2401,3187,3119,959,478,18
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cabatuan,PH023107000,9674,1899,5107,7,2449,3,209
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Cauayan,PH023108000,30623,6013,15274,1481,6422,183,1250
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Santiago,PH023135000,30472,1779,12972,18,15641,48,14
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Cordon,PH023109000,10353,790,6782,19,2522,238,2
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Delfin Albano (Magsaysay),PH023118000,6637,1325,610,3460,1148,11,83
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Dinapigue,PH023110000,1231,11,1022,19,0,179,0
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Divilacan,PH023111000,1310,15,922,131,0,239,3
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Echague,PH023112000,18874,915,12064,849,4939,99,8
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Gamu,PH023113000,6791,1047,2999,561,1995,40,149
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,City of Ilagan (Capital),PH023114000,34669,2675,15461,7493,8243,672,125
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Jones,PH023115000,10650,645,7694,183,1828,298,2
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Luna,PH023116000,4646,259,2788,5,1585,2,7
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Maconacon,PH023117000,977,21,789,17,0,150,0
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Mallig,PH023119000,7591,2351,5014,70,152,1,3
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Naguilian,PH023120000,7413,525,5250,47,1577,13,1
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Palanan,PH023121000,3826,267,1147,2079,5,327,1
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Quezon,PH023122000,5874,1907,3337,3,437,179,11
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Quirino,PH023123000,6333,390,5598,229,105,10,1
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Ramon,PH023124000,13347,950,9859,14,2472,50,2
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Reina Mercedes,PH023125000,6270,813,3446,508,1418,6,79
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Roxas,PH023126000,14226,2753,8050,145,526,2560,192
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Agustin,PH023127000,5626,170,5073,42,270,71,0
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Guillermo,PH023128000,4601,460,2930,357,758,51,45
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Isidro,PH023129000,5831,111,4135,1,1579,5,0
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Manuel,PH023130000,7613,1354,4138,33,1969,93,26
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Mariano,PH023131000,12220,453,8601,659,1051,1237,219
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Mateo,PH023132000,15664,1287,9380,7,4970,17,3
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,San Pablo,PH023133000,5134,770,1899,2114,223,125,3
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Santa Maria,PH023134000,4860,234,2311,2125,49,133,8
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Santo Tomas,PH023136000,4980,176,4674,27,96,5,2
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Tumauini,PH023137000,15541,2285,10513,335,2177,227,4
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Alfonso Castaneda,PH025015000,1787,200,118,39,167,1179,84
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Ambaguio,PH025001000,3536,1007,18,0,20,2491,0
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Aritao,PH025002000,8562,882,3359,91,1959,2269,2
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bagabag,PH025003000,8910,282,4576,14,3854,171,13
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bambang,PH025004000,13459,592,6313,20,4504,1877,153
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Bayombong (Capital),PH025005000,15761,1958,4927,59,7059,1711,47
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Diadi,PH025006000,4441,169,2595,121,581,974,1
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Dupax Del Norte,PH025007000,6646,590,2605,14,1075,2360,2
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Dupax Del Sur,PH025008000,4531,403,1460,163,452,1869,184
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Kasibu,PH025009000,8448,1804,1037,175,446,4977,9
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Kayapa,PH025010000,5544,27,71,188,7,5246,5
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Quezon,PH025011000,4991,456,1960,15,691,1861,8
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Santa Fe,PH025012000,3758,1712,213,7,498,1326,2
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Solano,PH025013000,16514,529,6184,152,9141,493,15
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,Villaverde,PH025014000,4452,82,2215,2,1338,783,32
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Aglipay,PH025701000,6577,386,4150,124,834,1067,16
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Cabarroguis (Capital),PH025702000,6849,592,2837,109,1853,1452,6
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Diffun,PH025703000,12283,511,7581,87,2272,1827,5
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Maddela,PH025704000,8914,442,5298,48,1589,1532,5
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Nagtipunan,PH025706000,4898,1031,1731,72,83,1977,4
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,Saguday,PH025705000,3985,668,2632,4,590,37,54
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Baler (Capital),PH037701000,8842,5293,1423,4,1945,108,69
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Casiguran,PH037702000,5721,2693,2165,59,210,388,206
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dilasag,PH037703000,3949,334,3421,13,5,175,1
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dinalungan,PH037704000,2661,2411,219,4,9,16,2
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dingalan,PH037705000,5726,1355,3387,230,312,412,30
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dipaculao,PH037706000,7051,2386,3430,86,270,876,3
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Maria Aurora,PH037707000,9405,2006,4555,67,1170,1580,27
Region III (Central Luzon),PH030000000,Aurora,PH037700000,San Luis,PH037708000,6055,2554,2785,8,535,147,26
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Abucay,PH030801000,9453,2454,6392,4,477,124,2
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Bagac,PH030802000,6042,3824,589,258,819,541,11
Region III (Central Luzon),PH030000000,Bataan,PH030800000,City of Balanga (Capital),PH030803000,21269,11239,5311,76,4213,413,17
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Dinalupihan,PH030804000,23971,11682,5502,179,3160,2893,555
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Hermosa,PH030805000,14439,5966,6114,385,566,1171,237
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Limay,PH030806000,15345,7411,4290,71,1900,1594,79
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Mariveles,PH030807000,30847,16710,1938,272,10002,1771,154
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Morong,PH030808000,6847,1480,2669,14,1384,1257,43
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Orani,PH030809000,15790,11305,3993,5,154,319,14
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Orion,PH030810000,12136,3488,5784,32,2659,120,53
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Pilar,PH030811000,9349,3438,3885,15,1700,161,150
Region III (Central Luzon),PH030000000,Bataan,PH030800000,Samal,PH030812000,7724,2611,4515,6,241,333,18
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Angat,PH031401000,14891,1946,2408,132,10368,31,6
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Balagtas (Bigaa),PH031402000,17633,4453,574,84,12512,0,10
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Baliuag,PH031403000,36480,10932,3468,4,22028,1,47
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bocaue,PH031404000,27427,7648,1061,9,18303,2,404
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bulacan,PH031405000,18307,2185,1354,43,14704,2,19
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Bustos,PH031406000,16046,2587,1757,9,11580,1,112
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Calumpit,PH031407000,24991,10715,348,90,13555,0,283
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of Malolos (Capital),PH031410000,57541,6660,1871,25,48754,52,179
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of Meycauayan,PH031412000,52543,12363,1574,158,36896,2,1550
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,City of San Jose Del Monte,PH031420000,126553,84138,2855,1015,35655,1343,1547
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Doña Remedios Trinidad,PH031424000,5090,446,1664,199,1370,1396,15
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Guiguinto,PH031408000,23062,3132,1029,22,18768,1,110
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Hagonoy,PH031409000,30208,15580,983,148,13274,195,28
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Marilao,PH031411000,52826,6416,3851,22,40835,172,1530
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Norzagaray,PH031413000,24822,7702,3333,610,11578,958,641
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Obando,PH031414000,13821,3108,254,1,10433,1,24
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Pandi,PH031415000,20314,2354,3120,30,14769,3,38
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Paombong,PH031416000,11782,2321,2367,13,6896,1,184
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Plaridel,PH031417000,24437,5245,2026,4,17109,17,36
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Pulilan,PH031418000,22557,4284,4860,90,13275,0,48
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Ildefonso,PH031419000,24257,5003,7063,187,11924,16,64
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Miguel,PH031421000,34459,7938,15679,74,9821,536,411
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Rafael,PH031422000,22560,4897,6229,271,11048,35,80
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Santa Maria,PH031423000,58357,9600,5847,219,42075,122,494
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Aliaga,PH034901000,14004,5523,8188,8,238,8,39
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Bongabon,PH034902000,14990,4357,9212,113,779,500,29
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Cabanatuan,PH034903000,68247,44895,18197,36,4508,49,562
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Cabiao,PH034904000,16685,8725,6314,0,1571,22,53
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Carranglan,PH034905000,9642,525,4867,71,1239,2939,1
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Gapan,PH034908000,24906,12156,11456,8,1178,78,30
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Cuyapo,PH034906000,15659,4038,8694,12,2902,11,2
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Gabaldon (Bitulok & Sabani),PH034907000,8510,204,5346,8,428,2334,190
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,General Mamerto Natividad,PH034909000,10030,1770,6789,0,1404,38,29
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,General Tinio (Papaya),PH034910000,10996,3560,5346,21,1691,375,3
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Guimba,PH034911000,28707,9300,18251,67,1069,4,16
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Jaen,PH034912000,17904,9028,8312,0,531,2,31
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Laur,PH034913000,8793,3464,4402,73,225,592,37
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Licab,PH034914000,6387,2244,4134,0,8,0,1
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Llanera,PH034915000,9590,1115,7154,13,1299,1,8
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Lupao,PH034916000,10080,1719,7353,34,852,118,4
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Nampicuan,PH034918000,3086,1521,1018,0,541,1,5
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Palayan (Capital),PH034919000,9447,5808,2014,92,987,475,71
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Pantabangan,PH034920000,6139,343,3688,54,1069,539,446
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Peñaranda,PH034921000,6857,5650,1029,16,154,0,8
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Quezon,PH034922000,9482,2342,6839,20,191,26,64
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Rizal,PH034923000,15251,1072,11092,3,2667,414,3
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Antonio,PH034924000,17543,7328,8267,1,1403,489,55
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Isidro,PH034925000,11325,5403,3933,2,1968,14,5
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Jose City,PH034926000,32769,7048,19270,41,5951,424,35
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Leonardo,PH034927000,15012,9967,3596,409,855,104,81
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Santa Rosa,PH034928000,15785,7841,5535,8,2347,22,32
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Santo Domingo,PH034929000,14103,5707,8039,2,328,26,1
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Science City of Muñoz,PH034917000,19143,6680,9486,49,2844,19,65
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Talavera,PH034930000,28362,7091,17475,9,3482,87,218
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Talugtug,PH034931000,5820,1366,4204,2,244,1,3
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Zaragoza,PH034932000,11723,4771,6205,1,741,3,2
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,City of Angeles,PH035401000,96219,60296,5047,552,26842,278,3204
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Apalit,PH035402000,23779,9204,3049,5,11396,34,91
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Arayat,PH035403000,28144,9372,14990,59,2905,683,135
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Bacolor,PH035404000,9593,2603,2013,3,4910,49,15
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Candaba,PH035405000,22664,6231,7820,4,8550,45,14
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,City of San Fernando (Capital),PH035416000,68272,21849,5622,81,39821,695,204
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Floridablanca,PH035406000,28915,21072,3810,52,2974,679,328
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Guagua,PH035407000,26336,12859,5149,49,8088,175,16
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Lubao,PH035408000,34492,10709,11384,81,11656,227,435
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Mabalacat City,PH035409000,56650,28915,3933,151,23413,209,29
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Macabebe,PH035410000,16321,4419,3462,113,8286,22,19
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Magalang,PH035411000,24484,5937,9143,9,9249,78,68
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Masantol,PH035412000,11946,1859,6175,29,3790,43,50
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Mexico,PH035413000,32518,12129,7956,20,12276,63,74
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Minalin,PH035414000,9931,6404,1062,1,2449,8,7
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Porac,PH035415000,27474,11257,8178,144,6386,1080,429
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,San Luis,PH035417000,10945,4390,2564,4,3858,17,112
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,San Simon,PH035418000,11420,4097,1664,54,5556,26,23
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santa Ana,PH035419000,11115,5910,1742,24,3426,6,7
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santa Rita,PH035420000,9064,2297,3936,18,2545,106,162
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santo Tomas,PH035421000,9214,4581,59,19,4520,10,25
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Sasmuan (Sexmoan),PH035422000,5805,3099,1925,7,685,77,12
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Anao,PH036901000,2720,1217,856,3,639,2,3
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Bamban,PH036902000,14978,4137,3842,397,6478,109,15
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Camiling,PH036903000,19601,5612,6059,36,7545,326,23
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Capas,PH036904000,32458,5920,15160,10,10455,648,265
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,City of Tarlac (Capital),PH036916000,75546,13312,23194,107,38307,276,350
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Concepcion,PH036905000,33299,7436,16050,310,9192,225,86
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Gerona,PH036906000,21302,2282,11721,16,7013,16,254
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,La Paz,PH036907000,14062,1184,8380,1,4467,17,13
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Mayantoc,PH036908000,7571,1069,5024,5,1089,128,256
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Moncada,PH036909000,13793,5370,7058,1,981,13,370
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Paniqui,PH036910000,22412,8010,8835,15,5180,36,336
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Pura,PH036911000,5602,1013,3206,0,1353,4,26
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Ramos,PH036912000,4785,2793,1149,2,835,4,2
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Clemente,PH036913000,3031,265,1025,2,1734,4,1
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Jose,PH036918000,8417,219,7126,94,721,237,20
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Manuel,PH036914000,5706,366,4399,1,914,0,26
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Santa Ignacia,PH036915000,11519,685,6910,7,3532,35,350
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Victoria,PH036917000,15192,1257,11849,0,2062,7,17
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Botolan,PH037101000,13668,1302,8168,103,2489,1446,160
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Cabangan,PH037102000,5989,838,4528,73,355,42,153
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Candelaria,PH037103000,6061,629,4561,13,761,38,59
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Castillejos,PH037104000,17230,2042,6970,63,7840,257,58
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Iba (Capital),PH037105000,11909,1369,6063,162,3900,349,66
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Masinloc,PH037106000,10894,3014,3823,202,3166,367,322
Region III (Central Luzon),PH030000000,Zambales,PH037100000,City of Olongapo,PH037107000,56482,32052,1076,278,19275,3717,84
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Palauig,PH037108000,7861,904,4494,900,1296,262,5
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Antonio,PH037109000,8709,1493,4777,11,2374,50,4
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Felipe,PH037110000,5725,1234,3404,0,1030,56,1
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Marcelino,PH037111000,8098,966,2365,142,3604,919,102
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Narciso,PH037112000,7161,588,3228,212,2964,162,7
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Santa Cruz,PH037113000,13865,1303,9101,181,2692,380,208
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Subic,PH037114000,25014,7462,4692,52,10139,2456,213
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Agoncillo,PH041001000,7826,6262,1089,14,325,6,130
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Alitagtag,PH041002000,5556,4760,40,0,735,3,18
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Balayan,PH041003000,22001,7579,7721,452,4827,843,579
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Balete,PH041004000,4732,4081,608,1,11,4,27
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Batangas City (Capital),PH041005000,77990,59930,4702,138,9181,3446,593
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Bauan,PH041006000,20694,13051,1229,16,4522,1835,41
